Provincia;Campo;Regione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
PA;di cui Produttore;Sicilia;5297;5367;5399
PA;di cui Recuperatore;Sicilia;112;112;112
PA;di cui Smaltitore;Sicilia;46;46;46
PA;di cui Trasportatore;Sicilia;1004;1016;1019
PC;Numero operatori iscritti;Emilia Romagna;2002;2016;2024
PC;Numero unita locali iscritte;Emilia Romagna;2575;2590;2599
PC;di cui Centro di raccolta;Emilia Romagna;51;51;51
PC;di cui Intermediario senza detenzione;Emilia Romagna;29;30;30
PC;di cui Produttore;Emilia Romagna;2449;2463;2472
PC;di cui Recuperatore;Emilia Romagna;85;85;85
PC;di cui Smaltitore;Emilia Romagna;16;16;16
PC;di cui Trasportatore;Emilia Romagna;261;262;262
PD;Numero operatori iscritti;Veneto;6648;6687;6709
PD;Numero unita locali iscritte;Veneto;8247;8301;8332
PD;di cui Centro di raccolta;Veneto;55;55;55
PD;di cui Intermediario senza detenzione;Veneto;118;119;119
PD;di cui Produttore;Veneto;7950;8004;8035
PD;di cui Recuperatore;Veneto;263;264;265
PD;di cui Smaltitore;Veneto;83;83;83
PD;di cui Trasportatore;Veneto;688;689;689
PE;Numero operatori iscritti;Abruzzo;1622;1635;1642
PE;Numero unita locali iscritte;Abruzzo;1917;1928;1937
PE;di cui Centro di raccolta;Abruzzo;8;8;8
PE;di cui Intermediario senza detenzione;Abruzzo;37;37;37
PE;di cui Produttore;Abruzzo;1779;1790;1799
PE;di cui Recuperatore;Abruzzo;56;56;56
PE;di cui Smaltitore;Abruzzo;16;16;16
PE;di cui Trasportatore;Abruzzo;272;273;275
PG;Numero operatori iscritti;Umbria;5300;5332;5353
PG;Numero unita locali iscritte;Umbria;6678;6714;6741
PG;di cui Centro di raccolta;Umbria;48;48;48
PG;di cui Intermediario senza detenzione;Umbria;78;80;80
PG;di cui Produttore;Umbria;6346;6383;6411
PG;di cui Recuperatore;Umbria;179;178;178
PG;di cui Smaltitore;Umbria;55;55;55
PG;di cui Trasportatore;Umbria;677;682;683
PI;Numero operatori iscritti;Toscana;3038;3059;3082
PI;Numero unita locali iscritte;Toscana;3864;3889;3914
PI;di cui Centro di raccolta;Toscana;33;33;33
PI;di cui Intermediario senza detenzione;Toscana;71;71;72
PI;di cui Produttore;Toscana;3639;3663;3685
PI;di cui Recuperatore;Toscana;102;102;103
PI;di cui Smaltitore;Toscana;41;41;41
PI;di cui Trasportatore;Toscana;423;426;428
PN;Numero operatori iscritti;Friuli Venezia Giulia;2292;2304;2314
PN;Numero unita locali iscritte;Friuli Venezia Giulia;3023;3044;3058
PN;di cui Centro di raccolta;Friuli Venezia Giulia;83;83;83
PN;di cui Intermediario senza detenzione;Friuli Venezia Giulia;39;39;39
PN;di cui Produttore;Friuli Venezia Giulia;2863;2883;2897
PN;di cui Recuperatore;Friuli Venezia Giulia;126;128;128
PN;di cui Smaltitore;Friuli Venezia Giulia;27;27;27
PN;di cui Trasportatore;Friuli Venezia Giulia;211;212;212
PO;Numero operatori iscritti;Toscana;2979;2995;3007
PO;Numero unita locali iscritte;Toscana;3427;3446;3458
PO;di cui Centro di raccolta;Toscana;3;3;3
PO;di cui Intermediario senza detenzione;Toscana;31;31;31
PO;di cui Produttore;Toscana;3250;3268;3280
PO;di cui Recuperatore;Toscana;105;105;105
PO;di cui Smaltitore;Toscana;14;14;14
PO;di cui Trasportatore;Toscana;308;309;309
PR;Numero operatori iscritti;Emilia Romagna;2912;2937;2949
PR;Numero unita locali iscritte;Emilia Romagna;3782;3815;3830
PR;di cui Centro di raccolta;Emilia Romagna;55;55;55
PR;di cui Intermediario senza detenzione;Emilia Romagna;62;62;62
PR;di cui Produttore;Emilia Romagna;3642;3672;3686
PR;di cui Recuperatore;Emilia Romagna;97;97;97
PR;di cui Smaltitore;Emilia Romagna;28;28;28
PR;di cui Trasportatore;Emilia Romagna;319;321;323
PT;Numero operatori iscritti;Toscana;1985;1997;2010
PT;Numero unita locali iscritte;Toscana;2448;2463;2481
PT;di cui Centro di raccolta;Toscana;9;9;9
PT;di cui Intermediario senza detenzione;Toscana;21;21;21
PT;di cui Produttore;Toscana;2288;2302;2320
PT;di cui Recuperatore;Toscana;59;59;59
PT;di cui Smaltitore;Toscana;17;17;17
PT;di cui Trasportatore;Toscana;295;297;297
PU;Numero operatori iscritti;Marche;2562;2574;2584
PU;Numero unita locali iscritte;Marche;3324;3338;3352
PU;di cui Centro di raccolta;Marche;29;29;29
PU;di cui Intermediario senza detenzione;Marche;45;45;45
PU;di cui Produttore;Marche;3178;3191;3206
PU;di cui Recuperatore;Marche;118;120;120
PU;di cui Smaltitore;Marche;26;26;26
PU;di cui Trasportatore;Marche;289;290;290
PV;Numero operatori iscritti;Lombardia;3162;3184;3201
PV;Numero unita locali iscritte;Lombardia;3998;4024;4046
PV;di cui Centro di raccolta;Lombardia;67;67;70
PV;di cui Intermediario senza detenzione;Lombardia;84;84;84
PV;di cui Produttore;Lombardia;3711;3734;3753
PV;di cui Recuperatore;Lombardia;183;183;183
PV;di cui Smaltitore;Lombardia;62;62;62
PV;di cui Trasportatore;Lombardia;446;449;449
PZ;Numero operatori iscritti;Basilicata;2053;2073;2089
PZ;Numero unita locali iscritte;Basilicata;2897;2921;2945
PZ;di cui Centro di raccolta;Basilicata;64;64;67
PZ;di cui Intermediario senza detenzione;Basilicata;43;43;43
PZ;di cui Produttore;Basilicata;2682;2706;2727
PZ;di cui Recuperatore;Basilicata;71;72;72
PZ;di cui Smaltitore;Basilicata;14;14;14
PZ;di cui Trasportatore;Basilicata;449;451;452
RA;Numero operatori iscritti;Emilia Romagna;2302;2314;2319
RA;Numero unita locali iscritte;Emilia Romagna;3102;3131;3139
RA;di cui Centro di raccolta;Emilia Romagna;30;30;31
RA;di cui Intermediario senza detenzione;Emilia Romagna;50;50;50
RA;di cui Produttore;Emilia Romagna;2953;2981;2988
RA;di cui Recuperatore;Emilia Romagna;133;135;135
RA;di cui Smaltitore;Emilia Romagna;42;42;42
RA;di cui Trasportatore;Emilia Romagna;246;247;247
RC;Numero operatori iscritti;Calabria;2094;2114;2131
RC;Numero unita locali iscritte;Calabria;2381;2408;2428
RC;di cui Centro di raccolta;Calabria;13;13;13
RC;di cui Intermediario senza detenzione;Calabria;29;29;29
RC;di cui Produttore;Calabria;2185;2208;2228
RC;di cui Recuperatore;Calabria;69;69;71
RC;di cui Smaltitore;Calabria;18;18;18
RC;di cui Trasportatore;Calabria;409;413;414
RE;Numero operatori iscritti;Emilia Romagna;3221;3240;3252
RE;Numero unita locali iscritte;Emilia Romagna;4229;4252;4266
RE;di cui Centro di raccolta;Emilia Romagna;68;68;68
RE;di cui Intermediario senza detenzione;Emilia Romagna;34;34;34
RE;di cui Produttore;Emilia Romagna;4071;4093;4106
RE;di cui Recuperatore;Emilia Romagna;126;127;127
RE;di cui Smaltitore;Emilia Romagna;31;31;31
RE;di cui Trasportatore;Emilia Romagna;343;344;345
RG;Numero operatori iscritti;Sicilia;1544;1556;1567
RG;Numero unita locali iscritte;Sicilia;1824;1836;1847
RG;di cui Centro di raccolta;Sicilia;6;6;6
RG;di cui Intermediario senza detenzione;Sicilia;19;19;20
RG;di cui Produttore;Sicilia;1725;1737;1748
RG;di cui Recuperatore;Sicilia;51;51;51
RG;di cui Smaltitore;Sicilia;19;19;19
RG;di cui Trasportatore;Sicilia;169;169;169
RI;Numero operatori iscritti;Lazio;770;776;779
RI;Numero unita locali iscritte;Lazio;1036;1043;1046
RI;di cui Centro di raccolta;Lazio;10;10;10
RI;di cui Intermediario senza detenzione;Lazio;10;10;10
RI;di cui Produttore;Lazio;978;985;988
RI;di cui Recuperatore;Lazio;35;35;35
RI;di cui Smaltitore;Lazio;5;5;5
RI;di cui Trasportatore;Lazio;110;110;110
RM;Numero operatori iscritti;Lazio;17117;17269;17393
RM;Numero unita locali iscritte;Lazio;22356;22575;22735
RM;di cui Centro di raccolta;Lazio;98;101;101
RM;di cui Intermediario senza detenzione;Lazio;575;576;577
RM;di cui Produttore;Lazio;20788;21002;21157
RM;di cui Recuperatore;Lazio;315;316;316
RM;di cui Smaltitore;Lazio;99;101;101
RM;di cui Trasportatore;Lazio;3200;3216;3225
RN;Numero operatori iscritti;Emilia Romagna;1893;1898;1904
RN;Numero unita locali iscritte;Emilia Romagna;2315;2323;2330
RN;di cui Centro di raccolta;Emilia Romagna;15;15;15
RN;di cui Intermediario senza detenzione;Emilia Romagna;30;30;30
RN;di cui Produttore;Emilia Romagna;2205;2214;2220
RN;di cui Recuperatore;Emilia Romagna;57;57;57
RN;di cui Smaltitore;Emilia Romagna;12;12;12
RN;di cui Trasportatore;Emilia Romagna;209;209;210
RO;Numero operatori iscritti;Veneto;1609;1620;1628
RO;Numero unita locali iscritte;Veneto;1960;1975;1984
RO;di cui Centro di raccolta;Veneto;18;18;19
RO;di cui Intermediario senza detenzione;Veneto;22;22;22
RO;di cui Produttore;Veneto;1879;1894;1902
RO;di cui Recuperatore;Veneto;75;75;75
RO;di cui Smaltitore;Veneto;16;16;16
RO;di cui Trasportatore;Veneto;188;188;189
SA;Numero operatori iscritti;Campania;5886;5937;5982
SA;Numero unita locali iscritte;Campania;7379;7450;7506
SA;di cui Centro di raccolta;Campania;102;105;109
SA;di cui Intermediario senza detenzione;Campania;189;189;189
SA;di cui Produttore;Campania;6896;6962;7014
SA;di cui Recuperatore;Campania;221;222;222
SA;di cui Smaltitore;Campania;34;35;35
SA;di cui Trasportatore;Campania;986;992;997
SI;Numero operatori iscritti;Toscana;1934;1938;1943
SI;Numero unita locali iscritte;Toscana;2549;2555;2564
SI;di cui Centro di raccolta;Toscana;37;37;37
SI;di cui Intermediario senza detenzione;Toscana;27;27;27
SI;di cui Produttore;Toscana;2446;2451;2460
SI;di cui Recuperatore;Toscana;72;72;73
SI;di cui Smaltitore;Toscana;31;31;32
SI;di cui Trasportatore;Toscana;239;241;242
SO;Numero operatori iscritti;Lombardia;1324;1337;1341
SO;Numero unita locali iscritte;Lombardia;1657;1672;1676
SO;di cui Centro di raccolta;Lombardia;40;40;40
SO;di cui Intermediario senza detenzione;Lombardia;9;9;9
SO;di cui Produttore;Lombardia;1578;1592;1596
SO;di cui Recuperatore;Lombardia;50;51;51
SO;di cui Smaltitore;Lombardia;19;20;20
SO;di cui Trasportatore;Lombardia;215;221;221
SP;Numero operatori iscritti;Liguria;1265;1272;1279
SP;Numero unita locali iscritte;Liguria;1586;1598;1606
SP;di cui Centro di raccolta;Liguria;16;16;16
SP;di cui Intermediario senza detenzione;Liguria;16;16;16
SP;di cui Produttore;Liguria;1530;1542;1550
SP;di cui Recuperatore;Liguria;38;38;38
SP;di cui Smaltitore;Liguria;9;9;9
SP;di cui Trasportatore;Liguria;140;140;140
SR;Numero operatori iscritti;Sicilia;1605;1615;1623
SR;Numero unita locali iscritte;Sicilia;1999;2010;2020
SR;di cui Centro di raccolta;Sicilia;16;16;16
SR;di cui Intermediario senza detenzione;Sicilia;53;53;53
SR;di cui Produttore;Sicilia;1893;1905;1915
SR;di cui Recuperatore;Sicilia;70;70;70
SR;di cui Smaltitore;Sicilia;25;25;25
SR;di cui Trasportatore;Sicilia;255;255;256
SS;Numero operatori iscritti;Sardegna;2633;2644;2651
SS;Numero unita locali iscritte;Sardegna;3603;3614;3623
SS;di cui Centro di raccolta;Sardegna;60;60;60
SS;di cui Intermediario senza detenzione;Sardegna;46;46;46
SS;di cui Produttore;Sardegna;3373;3386;3394
SS;di cui Recuperatore;Sardegna;115;116;117
SS;di cui Smaltitore;Sardegna;54;54;54
SS;di cui Trasportatore;Sardegna;453;453;456
SU;Numero operatori iscritti;Sardegna;1519;1518;1516
SU;Numero unita locali iscritte;Sardegna;2132;2130;2127
SU;di cui Centro di raccolta;Sardegna;62;62;62
SU;di cui Intermediario senza detenzione;Sardegna;38;38;38
SU;di cui Produttore;Sardegna;1886;1885;1883
SU;di cui Recuperatore;Sardegna;79;78;77
SU;di cui Smaltitore;Sardegna;27;27;27
SU;di cui Trasportatore;Sardegna;470;469;466
SV;Numero operatori iscritti;Liguria;1516;1525;1531
SV;Numero unita locali iscritte;Liguria;1932;1947;1956
SV;di cui Centro di raccolta;Liguria;27;27;27
SV;di cui Intermediario senza detenzione;Liguria;32;33;33
SV;di cui Produttore;Liguria;1817;1831;1840
SV;di cui Recuperatore;Liguria;60;60;60
SV;di cui Smaltitore;Liguria;22;22;22
SV;di cui Trasportatore;Liguria;295;295;293
TA;Numero operatori iscritti;Puglia;2411;2422;2446
TA;Numero unita locali iscritte;Puglia;2979;3008;3037
TA;di cui Centro di raccolta;Puglia;41;41;41
TA;di cui Intermediario senza detenzione;Puglia;63;63;64
TA;di cui Produttore;Puglia;2747;2776;2805
TA;di cui Recuperatore;Puglia;102;102;102
TA;di cui Smaltitore;Puglia;32;32;32
TA;di cui Trasportatore;Puglia;426;428;429
TE;Numero operatori iscritti;Abruzzo;1936;1957;1967
TE;Numero unita locali iscritte;Abruzzo;2361;2382;2394
TE;di cui Centro di raccolta;Abruzzo;24;24;24
TE;di cui Intermediario senza detenzione;Abruzzo;50;50;50
TE;di cui Produttore;Abruzzo;2237;2257;2269
TE;di cui Recuperatore;Abruzzo;102;103;103
TE;di cui Smaltitore;Abruzzo;47;47;47
TE;di cui Trasportatore;Abruzzo;280;284;285
TN;Numero operatori iscritti;Trentino Alto Adige;3981;4027;4044
TN;Numero unita locali iscritte;Trentino Alto Adige;5385;5439;5461
TN;di cui Centro di raccolta;Trentino Alto Adige;124;124;125
TN;di cui Intermediario senza detenzione;Trentino Alto Adige;65;65;65
TN;di cui Produttore;Trentino Alto Adige;5157;5211;5232
TN;di cui Recuperatore;Trentino Alto Adige;242;242;243
TN;di cui Smaltitore;Trentino Alto Adige;101;101;101
TN;di cui Trasportatore;Trentino Alto Adige;645;651;652
TO;Numero operatori iscritti;Piemonte;11264;11330;11387
TO;Numero unita locali iscritte;Piemonte;15015;15152;15241
TO;di cui Centro di raccolta;Piemonte;113;113;113
TO;di cui Intermediario senza detenzione;Piemonte;320;320;320
TO;di cui Produttore;Piemonte;14264;14398;14486
TO;di cui Recuperatore;Piemonte;545;543;543
TO;di cui Smaltitore;Piemonte;112;113;113
TO;di cui Trasportatore;Piemonte;1793;1799;1811
TP;Numero operatori iscritti;Sicilia;2840;2855;2871
TP;Numero unita locali iscritte;Sicilia;3285;3309;3332
TP;di cui Centro di raccolta;Sicilia;24;24;24
TP;di cui Intermediario senza detenzione;Sicilia;30;31;31
TP;di cui Produttore;Sicilia;3146;3169;3193
TP;di cui Recuperatore;Sicilia;51;52;52
TP;di cui Smaltitore;Sicilia;29;29;29
TP;di cui Trasportatore;Sicilia;271;273;273
TR;Numero operatori iscritti;Umbria;1469;1483;1489
TR;Numero unita locali iscritte;Umbria;1913;1932;1938
TR;di cui Centro di raccolta;Umbria;21;21;21
TR;di cui Intermediario senza detenzione;Umbria;32;32;32
TR;di cui Produttore;Umbria;1805;1823;1829
TR;di cui Recuperatore;Umbria;66;66;66
TR;di cui Smaltitore;Umbria;16;16;16
TR;di cui Trasportatore;Umbria;201;204;204
TS;Numero operatori iscritti;Friuli Venezia Giulia;1034;1043;1047
TS;Numero unita locali iscritte;Friuli Venezia Giulia;1346;1360;1366
TS;di cui Centro di raccolta;Friuli Venezia Giulia;8;8;8
TS;di cui Intermediario senza detenzione;Friuli Venezia Giulia;14;14;14
TS;di cui Produttore;Friuli Venezia Giulia;1275;1290;1296
TS;di cui Recuperatore;Friuli Venezia Giulia;31;31;31
TS;di cui Smaltitore;Friuli Venezia Giulia;7;7;7
TS;di cui Trasportatore;Friuli Venezia Giulia;159;158;159
TV;Numero operatori iscritti;Veneto;6347;6382;6405
TV;Numero unita locali iscritte;Veneto;8057;8098;8127
TV;di cui Centro di raccolta;Veneto;88;88;88
TV;di cui Intermediario senza detenzione;Veneto;123;122;122
TV;di cui Produttore;Veneto;7823;7864;7893
TV;di cui Recuperatore;Veneto;239;239;239
TV;di cui Smaltitore;Veneto;33;33;33
TV;di cui Trasportatore;Veneto;554;554;554
UD;Numero operatori iscritti;Friuli Venezia Giulia;3621;3642;3656
UD;Numero unita locali iscritte;Friuli Venezia Giulia;4696;4727;4747
UD;di cui Centro di raccolta;Friuli Venezia Giulia;112;114;116
UD;di cui Intermediario senza detenzione;Friuli Venezia Giulia;62;62;62
UD;di cui Produttore;Friuli Venezia Giulia;4459;4491;4509
UD;di cui Recuperatore;Friuli Venezia Giulia;141;141;141
UD;di cui Smaltitore;Friuli Venezia Giulia;28;28;28
UD;di cui Trasportatore;Friuli Venezia Giulia;387;388;388
VA;Numero operatori iscritti;Lombardia;5243;5272;5293
VA;Numero unita locali iscritte;Lombardia;6421;6460;6491
VA;di cui Centro di raccolta;Lombardia;80;80;80
VA;di cui Intermediario senza detenzione;Lombardia;95;95;95
VA;di cui Produttore;Lombardia;6029;6067;6098
VA;di cui Recuperatore;Lombardia;190;190;190
VA;di cui Smaltitore;Lombardia;57;57;57
VA;di cui Trasportatore;Lombardia;726;729;731
VB;Numero operatori iscritti;Piemonte;1043;1052;1058
VB;Numero unita locali iscritte;Piemonte;1360;1370;1380
VB;di cui Centro di raccolta;Piemonte;21;21;21
VB;di cui Intermediario senza detenzione;Piemonte;14;14;14
VB;di cui Produttore;Piemonte;1293;1303;1310
VB;di cui Recuperatore;Piemonte;49;49;50
VB;di cui Smaltitore;Piemonte;14;14;14
VB;di cui Trasportatore;Piemonte;133;134;135
VC;Numero operatori iscritti;Piemonte;1111;1120;1126
VC;Numero unita locali iscritte;Piemonte;1330;1342;1348
VC;di cui Centro di raccolta;Piemonte;12;12;12
VC;di cui Intermediario senza detenzione;Piemonte;23;23;23
VC;di cui Produttore;Piemonte;1275;1286;1292
VC;di cui Recuperatore;Piemonte;54;55;55
VC;di cui Smaltitore;Piemonte;17;17;17
VC;di cui Trasportatore;Piemonte;140;140;141
VE;Numero operatori iscritti;Veneto;4860;4887;4907
VE;Numero unita locali iscritte;Veneto;6264;6298;6329
VE;di cui Centro di raccolta;Veneto;39;39;39
VE;di cui Intermediario senza detenzione;Veneto;105;106;106
VE;di cui Produttore;Veneto;6068;6101;6131
VE;di cui Recuperatore;Veneto;190;191;191
VE;di cui Smaltitore;Veneto;68;68;68
VE;di cui Trasportatore;Veneto;532;535;536
VI;Numero operatori iscritti;Veneto;7422;7450;7464
VI;Numero unita locali iscritte;Veneto;9180;9216;9240
VI;di cui Centro di raccolta;Veneto;100;100;100
VI;di cui Intermediario senza detenzione;Veneto;141;140;141
VI;di cui Produttore;Veneto;8854;8889;8912
VI;di cui Recuperatore;Veneto;282;282;283
VI;di cui Smaltitore;Veneto;57;57;57
VI;di cui Trasportatore;Veneto;597;600;600
VR;Numero operatori iscritti;Veneto;6035;6067;6095
VR;Numero unita locali iscritte;Veneto;7693;7729;7765
VR;di cui Centro di raccolta;Veneto;166;166;166
VR;di cui Intermediario senza detenzione;Veneto;133;133;133
VR;di cui Produttore;Veneto;7261;7296;7329
VR;di cui Recuperatore;Veneto;275;274;274
VR;di cui Smaltitore;Veneto;59;57;57
VR;di cui Trasportatore;Veneto;647;646;651
VS;Numero operatori iscritti;Sardegna;40;51;58
VS;Numero unita locali iscritte;Sardegna;59;71;78
VS;di cui Centro di raccolta;Sardegna;9;9;9
VS;di cui Intermediario senza detenzione;Sardegna;0;0;0
VS;di cui Produttore;Sardegna;38;50;57
VS;di cui Recuperatore;Sardegna;7;8;8
VS;di cui Smaltitore;Sardegna;0;0;0
VS;di cui Trasportatore;Sardegna;7;7;8
VT;Numero operatori iscritti;Lazio;1645;1664;1679
VT;Numero unita locali iscritte;Lazio;2224;2246;2268
VT;di cui Centro di raccolta;Lazio;49;49;49
VT;di cui Intermediario senza detenzione;Lazio;25;25;25
VT;di cui Produttore;Lazio;2111;2134;2156
VT;di cui Recuperatore;Lazio;92;93;93
VT;di cui Smaltitore;Lazio;17;17;17
VT;di cui Trasportatore;Lazio;240;243;245
VV;Numero operatori iscritti;Calabria;717;725;728
VV;Numero unita locali iscritte;Calabria;875;884;887
VV;di cui Centro di raccolta;Calabria;4;4;4
VV;di cui Intermediario senza detenzione;Calabria;11;11;11
VV;di cui Produttore;Calabria;806;815;818
VV;di cui Recuperatore;Calabria;30;30;30
VV;di cui Smaltitore;Calabria;5;5;5
VV;di cui Trasportatore;Calabria;126;127;127
